gid,config
339,i_pvwatts_fixed
340,i_pvwatts_fixed
341,i_pvwatts_fixed
342,i_pvwatts_fixed
343,i_pvwatts_fixed
344,i_pvwatts_fixed
345,i_pvwatts_fixed
346,i_pvwatts_fixed
347,i_pvwatts_fixed
348,i_pvwatts_fixed
349,i_pvwatts_fixed
350,i_pvwatts_fixed
351,i_pvwatts_fixed
352,i_pvwatts_fixed
353,i_pvwatts_fixed
354,i_pvwatts_fixed
355,i_pvwatts_fixed
356,i_pvwatts_fixed
357,i_pvwatts_fixed
358,i_pvwatts_fixed
359,i_pvwatts_fixed
360,i_pvwatts_fixed
361,i_pvwatts_fixed
362,i_pvwatts_fixed
363,i_pvwatts_fixed
364,i_pvwatts_fixed
365,i_pvwatts_fixed
366,i_pvwatts_fixed
367,i_pvwatts_fixed
368,i_pvwatts_fixed
369,i_pvwatts_fixed
370,i_pvwatts_fixed
371,i_pvwatts_fixed
372,i_pvwatts_fixed
373,i_pvwatts_fixed
374,i_pvwatts_fixed
375,i_pvwatts_fixed
376,i_pvwatts_fixed
377,i_pvwatts_fixed
378,i_pvwatts_fixed
379,i_pvwatts_fixed
380,i_pvwatts_fixed
381,i_pvwatts_fixed
382,i_pvwatts_fixed
383,i_pvwatts_fixed
384,i_pvwatts_fixed
385,i_pvwatts_fixed
386,i_pvwatts_fixed
387,i_pvwatts_fixed
388,i_pvwatts_fixed
389,i_pvwatts_fixed
390,i_pvwatts_fixed
391,i_pvwatts_fixed
392,i_pvwatts_fixed
393,i_pvwatts_fixed
394,i_pvwatts_fixed
395,i_pvwatts_fixed
396,i_pvwatts_fixed
397,i_pvwatts_fixed
398,i_pvwatts_fixed
399,i_pvwatts_fixed
400,i_pvwatts_fixed
401,i_pvwatts_fixed
402,i_pvwatts_fixed
403,i_pvwatts_fixed
404,i_pvwatts_fixed
405,i_pvwatts_fixed
406,i_pvwatts_fixed
407,i_pvwatts_fixed
408,i_pvwatts_fixed
409,i_pvwatts_fixed
410,i_pvwatts_fixed
411,i_pvwatts_fixed
412,i_pvwatts_fixed
413,i_pvwatts_fixed
414,i_pvwatts_fixed
415,i_pvwatts_fixed
416,i_pvwatts_fixed
417,i_pvwatts_fixed
418,i_pvwatts_fixed
419,i_pvwatts_fixed
420,i_pvwatts_fixed
421,i_pvwatts_fixed
422,i_pvwatts_fixed
423,i_pvwatts_fixed
424,i_pvwatts_fixed
425,i_pvwatts_fixed
426,i_pvwatts_fixed
427,i_pvwatts_fixed
428,i_pvwatts_fixed
429,i_pvwatts_fixed
430,i_pvwatts_fixed
431,i_pvwatts_fixed
432,i_pvwatts_fixed
433,i_pvwatts_fixed
434,i_pvwatts_fixed
435,i_pvwatts_fixed
436,i_pvwatts_fixed
437,i_pvwatts_fixed
438,i_pvwatts_fixed
439,i_pvwatts_fixed
440,i_pvwatts_fixed
441,i_pvwatts_fixed
442,i_pvwatts_fixed
443,i_pvwatts_fixed
444,i_pvwatts_fixed
445,i_pvwatts_fixed
446,i_pvwatts_fixed
447,i_pvwatts_fixed
448,i_pvwatts_fixed
449,i_pvwatts_fixed
450,i_pvwatts_fixed
451,i_pvwatts_fixed
452,i_pvwatts_fixed
453,i_pvwatts_fixed
454,i_pvwatts_fixed
455,i_pvwatts_fixed
456,i_pvwatts_fixed
457,i_pvwatts_fixed
458,i_pvwatts_fixed
459,i_pvwatts_fixed
460,i_pvwatts_fixed
461,i_pvwatts_fixed
462,i_pvwatts_fixed
463,i_pvwatts_fixed
464,i_pvwatts_fixed
465,i_pvwatts_fixed
466,i_pvwatts_fixed
467,i_pvwatts_fixed
468,i_pvwatts_fixed
469,i_pvwatts_fixed
470,i_pvwatts_fixed
471,i_pvwatts_fixed
472,i_pvwatts_fixed
473,i_pvwatts_fixed
474,i_pvwatts_fixed
475,i_pvwatts_fixed
476,i_pvwatts_fixed
477,i_pvwatts_fixed
478,i_pvwatts_fixed
479,i_pvwatts_fixed
480,i_pvwatts_fixed
481,i_pvwatts_fixed
482,i_pvwatts_fixed
483,i_pvwatts_fixed
484,i_pvwatts_fixed
